Instancia, n, K, m, z, S, Tiempo CPU
max_div_15_2.txt, 15, 2, 5, 73.5619, 8 6 3 10 1 , 5.0218e-05
max_div_15_3.txt, 15, 3, 5, 94.7487, 11 8 4 10 13 , 3.5447e-05
max_div_20_2.txt, 20, 2, 5, 61.2393, 17 18 8 2 12 , 4.882e-05
max_div_20_3.txt, 20, 3, 5, 92.8297, 12 13 7 2 16 , 3.9358e-05
max_div_30_2.txt, 30, 2, 5, 80.9102, 8 27 1 10 12 , 6.1735e-05
max_div_30_3.txt, 30, 3, 5, 99.5088, 16 6 23 13 14 , 6.0287e-05
