Instancia, n, K, m, z, S, Tiempo CPU
max_div_15_2.txt, 15, 2, 2, 11.8592, 8 6 , 2.876e-05
max_div_15_3.txt, 15, 3, 2, 13.2732, 11 8 , 1.923e-05
max_div_20_2.txt, 20, 2, 2, 8.51033, 17 18 , 1.8801e-05
max_div_20_3.txt, 20, 3, 2, 11.8003, 12 13 , 2.488e-05
max_div_30_2.txt, 30, 2, 2, 11.6571, 8 27 , 3.8344e-05
max_div_30_3.txt, 30, 3, 2, 13.0737, 16 6 , 3.0565e-05
