Instancia, n, K, m, z, S, Tiempo CPU
max_div_15_2.txt, 15, 2, 4, 48.4139, 8 6 3 10 , 3.5915e-05
max_div_15_3.txt, 15, 3, 4, 59.7638, 11 8 4 10 , 2.852e-05
max_div_20_2.txt, 20, 2, 4, 39.5682, 17 18 8 2 , 9.0769e-05
max_div_20_3.txt, 20, 3, 4, 56.5347, 12 13 7 2 , 3.4455e-05
max_div_30_2.txt, 30, 2, 4, 52.7712, 8 27 1 10 , 6.8269e-05
max_div_30_3.txt, 30, 3, 4, 63.5184, 16 6 23 13 , 4.6541e-05
