Instancia, n, K, m, iter, LRC, z, S, Tiempo CPU, nodos generados
max_div_15_2.txt, 15, 2, 4, 10, 1, 49.8268, 8 6 0 5 , 0.117502, 170
max_div_15_3.txt, 15, 3, 4, 10, 1, 59.7638, 10 8 4 11 , 0.0909748, 113
max_div_20_2.txt, 20, 2, 4, 10, 1, 40.0023, 1 18 8 2 , 0.302796, 175
max_div_20_3.txt, 20, 3, 4, 10, 1, 56.6903, 13 2 16 12 , 0.294895, 145
max_div_30_2.txt, 30, 2, 4, 10, 1, 52.7712, 8 27 1 10 , 0.9241, 136
max_div_30_3.txt, 30, 3, 4, 10, 1, 63.702, 16 5 23 13 , 0.827222, 102
