Instancia, n, K, m, iter, LRC, z, S, Tiempo CPU
max_div_15_2.txt, 15, 2, 3, 10, 2, 25.7262, 8 6 3 , 0.000362661
max_div_15_3.txt, 15, 3, 3, 10, 2, 31.8685, 4 11 6 , 0.000299289
max_div_20_2.txt, 20, 2, 3, 10, 2, 21.9961, 17 18 8 , 0.000354298
max_div_20_3.txt, 20, 3, 3, 10, 2, 30.8727, 12 13 7 , 0.000324846
max_div_30_2.txt, 30, 2, 3, 10, 2, 28.9443, 27 8 1 , 0.000417745
max_div_30_3.txt, 30, 3, 3, 10, 2, 34.2905, 16 5 23 , 0.000407246
