Instancia, n, K, m, iter, LRC, z, S, Tiempo CPU
max_div_15_2.txt, 15, 2, 2, 10, 2, 11.8592, 8 6 , 0.000205369
max_div_15_3.txt, 15, 3, 2, 10, 2, 13.2732, 11 8 , 0.00021323
max_div_20_2.txt, 20, 2, 2, 10, 2, 8.51033, 17 18 , 0.000324091
max_div_20_3.txt, 20, 3, 2, 10, 2, 11.8003, 12 13 , 0.000311422
max_div_30_2.txt, 30, 2, 2, 10, 2, 11.6571, 8 27 , 0.000382307
max_div_30_3.txt, 30, 3, 2, 10, 2, 13.0737, 16 6 , 0.000465968
